place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,5,JOY MASTER(B222),J Moreira,C Fownes,128,1070,3,-,"7                                                            

8                                                            

6                                                            

1",1:35.89,2.6,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
2,11,ART OF RAW(V368),H T Mo,C W Chang,115,1085,8,3/4,"2                                                            

2                                                            

1                                                            

2",1:36.03,13,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
3,10,THE FULL BLOOM(V243),K C Leung,C H Yip,119,1085,1,1-1/4,"5                                                            

3                                                            

3                                                            

3",1:36.07,7.3,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
4,1,WHO'S HORSE(C233),K Teetan,K H Ting,133,1140,6,1-1/4,"1                                                            

1                                                            

2                                                            

4",1:36.09,7.2,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
5,7,GREEN GENERATION(C355),C Y Ho,C W Chang,126,1052,7,1-1/2,"9                                                            

11                                                            

10                                                            

5",1:36.13,36,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
6,8,GREAT SMART(C319),M Chadwick,K L Man,124,1199,11,1-3/4,"4                                                            

4                                                            

4                                                            

6",1:36.17,7.7,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
7,6,AMAZING AGILITY(V192),H W Lai,L Ho,127,975,9,2,"6                                                            

6                                                            

9                                                            

7",1:36.20,19,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
8,9,BRAVERY AND POWER(C295),M F Poon,W Y So,119,1055,4,2-3/4,"3                                                            

5                                                            

5                                                            

8",1:36.32,61,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
9,2,ENJOYABLE SUCCESS(B150),B Shinn,C W Chang,130,1082,5,3-3/4,"12                                                            

9                                                            

8                                                            

9",1:36.49,15,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
10,12,FORTUNE BUDDY(B444),M L Yeung,T P Yung,116,1089,2,5-1/4,"8                                                            

7                                                            

7                                                            

10",1:36.73,58,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
